Rank,Title,Score,Format,Date,Studio,Genres,Source,Rating,Recommendation
84,Hyouka,8.12,TV (22 eps),Apr 2012 - Sep 2012,Kyoto Animation,"['Mystery', 'Slice of Life', 'School']",Novel,PG-13 - Teens 13 or older,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
85,Haikyuu!! Second Season,8.67,TV (25 eps),Oct 2015 - Mar 2016,Production I.G,"['Comedy', 'Drama', 'Sports', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Diamond no Ace: Second Season
86,Ansatsu Kyoushitsu 2nd Season,8.52,TV (25 eps),Jan 2016 - Jul 2016,Lerche,"['Action', 'Comedy', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Great Teacher Onizuka
87,Mahou Shoujo Madoka★Magica,8.36,TV (12 eps),Jan 2011 - Apr 2011,Shaft,"['Drama', 'Suspense', 'Psychological']",Original,PG-13 - Teens 13 or older,Neon Genesis Evangelion
88,Mob Psycho 100 II,8.82,TV (13 eps),Jan 2019 - Apr 2019,Bones,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']",Web manga,PG-13 - Teens 13 or older,Saiki Kusuo no Ψ-nan
89,Deadman Wonderland,7.19,TV (12 eps),Apr 2011 - Jul 2011,Manglobe,"['Action', 'Horror', 'Sci-Fi', 'Supernatural', 'Shounen']",Manga,R - 17+ (violence & profanity),Mirai Nikki (TV)
90,Guilty Crown,7.47,TV (22 eps),Oct 2011 - Mar 2012,Production I.G,"['Action', 'Drama', 'Romance', 'Sci-Fi', 'Mecha', 'Super Power']",Original,R - 17+ (violence & profanity),Code Geass: Hangyaku no Lelouch
91,Owari no Seraph,7.49,TV (12 eps),Apr 2015 - Jun 2015,Wit Studio,"['Action', 'Drama', 'Supernatural', 'Military', 'Vampire', 'Shounen']",Manga,R - 17+ (violence & profanity),Shingeki no Kyojin
92,Sakura-sou no Pet na Kanojo,8.14,TV (24 eps),Oct 2012 - Mar 2013,J.C.Staff,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'School']",Light novel,PG-13 - Teens 13 or older,Toradora!
93,Kaichou wa Maid-sama!,8.03,TV (26 eps),Apr 2010 - Sep 2010,J.C.Staff,"['Comedy', 'Romance', 'School', 'Shoujo']",Manga,PG-13 - Teens 13 or older,Special A
94,Samurai Champloo,8.50,TV (26 eps),May 2004 - Mar 2005,Manglobe,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",Original,R - 17+ (violence & profanity),Cowboy Bebop
95,Dragon Ball Z,8.15,TV (291 eps),Apr 1989 - Jan 1996,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Yuu☆Yuu☆Hakusho
96,Made in Abyss,8.70,TV (13 eps),Jul 2017 - Sep 2017,Kinema Citrus,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Web manga,R - 17+ (violence & profanity),Yakusoku no Neverland
97,Clannad: After Story,8.95,TV (24 eps),Oct 2008 - Mar 2009,Kyoto Animation,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']",Visual novel,PG-13 - Teens 13 or older,Shigatsu wa Kimi no Uso
98,Howl no Ugoku Shiro,8.66,Movie (1 eps),Nov 2004 - Nov 2004,Studio Ghibli,"['Adventure', 'Drama', 'Fantasy', 'Romance']",Novel,G - All Ages,Sen to Chihiro no Kamikakushi
99,Mononoke Hime,8.69,Movie (1 eps),Jul 1997 - Jul 1997,Studio Ghibli,"['Action', 'Adventure', 'Fantasy']",Original,PG-13 - Teens 13 or older,Kaze no Tani no Nausicaä
100,Bungou Stray Dogs,7.81,TV (12 eps),Apr 2016 - Jun 2016,Bones,"['Action', 'Comedy', 'Mystery', 'Supernatural', 'Super Power', 'Seinen']",Manga,R - 17+ (violence & profanity),Kekkai Sensen
